質問（スイーツ、料理、グルメ),A,B,C,D,正解
ある田舎の寂れた無人駅を見た時の感情を表現するのは？,痛い,悲しい,楽しい,エモい,D
バスクチーズケーキの名前にもなっているバスク地方がある国はどこ？,ドイツ,タイ,スペイン,インド,C
マカロンを進化させた「トゥンカロン」はどこの国の発祥？,日本,韓国,フランス,中国,B
1969年に設立した、国内に692店舗、海外に28店舗ある焼肉食べ放題チェーン店のなまえは？,焼肉きんぐ,焼肉くいーん,焼肉えーす,焼肉じゃっく,Ａ
おにぎりがいつの時代から食べられるようになったか,弥生時代,江戸時代,飛鳥時代,奈良時代,A
牛肉の部位で実際にはないものはどれ？,エンピツ,ゼンマイ,ネクタイ,メガネ,B
名古屋名物スイーツの「ぴよりん」のモチーフとなっている動物は何？,アヒル,ヒヨコ,スズメ,ハト,B
焼きまんじゅうは何県の郷土料理？,群馬県,埼玉県,栃木県,茨城県,Ａ
ナポリタンはどこの国の料理？,日本,イギリス,フランス,スペイン,Ａ
クロワッサン生地をワッフルメーカーで焼いたものを何という,クロワッフル,クロッフル,ワッフルサン,ワッフサン,B
七五三の時に食べる飴は何という？,金太郎飴,千歳飴,りんご飴,鶴飴,B
うまい棒にない味は何でしょう,焼き鳥味,シュガーラスク味,納豆味,唐揚げ味,D
この中で「ガリガリ君」の味にないものは何でしょう？,ナポリタン味,味噌ラーメン味,塩ちんすこう味,温泉まんじゅう味,B
タピオカの原料は何のデンプン？,サツマイモ,ジャガイモ,キャッサバ,山芋,C
讃岐うどんのは何県の郷土料理？,埼玉県,香川県,群馬県,沖縄県,B
信玄餅を製造しているメーカーがある都道府県は？,山梨県,千葉県,栃木県,群馬県,Ａ
「彩果の宝石」は何県の銘菓？,長野県,埼玉県,山梨県,山形県,B
この中でコメダ珈琲の発祥の地は？,東京都,鳥取県,愛知県,神奈川県,C
TKGで有名な料理はなんでしょう？,卵かけごはん,卵かけごぼう,とろろキムチ玄米,チキンクリームグラタン,A
出雲そばは何県の郷土料理でしょうか,新潟県,長野県,島根県,埼玉県,B
料理の「さしすせそ」の「そ」はなんでしょう？,そばつゆ,ソース,味噌,醤油,C
千葉県船橋市で有名なフルーツはなんですか？,ぶどう,なし,りんご,いちご,B
大根のどの部分を使うと辛みが少ないでしょう？,先端,真ん中,葉に近いほう,葉,C
「クーヘン」はドイツ語でどの意味でしょう？,ケーキ,樹木,スポンジ,バームクーヘン,Ａ
「エクレア」はフランス語でどんな意味？,チョコレート,稲妻,お菓子,クリーム,B
「ずんだ」は何をすりつぶしたもの？,インゲン,大豆,枝豆,エンドウ豆,C
「ほうとう」は何県の郷土料理ですか,静岡県,愛知県,山梨県,長野県,C
賞味期限が５秒の有馬温泉にあるグルメを何という？,水信玄餅,元祖なま炭酸せんべい,ごっそ玉,ゆげたち,B
スチューベンの原産地は？,アメリカ,イタリア,フランス,中国,A
「アシュレ」はどこの国の料理？,トルコ,アメリカ,ドイツ,フランス,A
チュロスの本場はどこの国？,韓国,フランス,イタリア,スペイン,D
この中で日本発祥の食べ物は,天津飯,春巻き,チャーハン,マーボー豆腐,A
おいしいみかんの見分け方は次のうちどれでしょう,へたが大きい,形がデコボコしている,表面のつぶつぶが多い,房の数が少ない,C
2003年にさくらんぼの生産量が１位の国は？,アメリカ,中国,イラン,トルコ,D
この中で、りんごを使ったお菓子はどれでしょう？,パリブレスト,クロカンブッシュ,タルトタタン,クイニーアマン,C
アサイーという果物のスムージーに、フルーツやグラノーラ、はちみつなどをトッピングしたスイーツは？,アサイーボウル,アサイージュース,アサイーボール,アサイーノーラ,
昔は毒があると言われていたものは？,リンゴ,トマト,タマネギ,ピーマン,B
「チュロス」というスイーツの名前は日本のなんという企業が商標権を持っている？,味の素,明治,日清製粉,オリエンタルランド,C
ローマ発祥のブリオッシュ生地を半分に切り、生クリームとフルーツをたっぷりと挟んだデザートは？？,マリトッツォ,モリトッツォ,パリトッツォ,マリオット,A
関あじ・関さば最中は何県の銘菓？,福岡県,宮城県,大分県,鹿児島県,C
「十万石まんじゅう」は何県の銘菓？,埼玉県,群馬県,栃木県,神奈川県,A
