年代情報,キーワード,関連記事,問題内容,A,B,C,D
2021,ぴよりん,https://news.yahoo.co.jp/expert/articles/e71419d6746faaeb1290f2ef562070eca1cf08a2,"藤井聡太二冠が対局中に食べたことで話題になり、
販売数が急増した名古屋名物のスイーツはどれでしょう？",しろくま,ぴよりん,わらびもちドリンク,バスクチーズケーキ
2021,ぴよりん,https://news.yahoo.co.jp/expert/articles/e71419d6746faaeb1290f2ef562070eca1cf08a2,"「ぴよりん」は“配送ができない”とされています。
その主な理由として最も適切なものはどれでしょう？",使用している卵が希少なため,柔らかくて形が崩れやすいため,要冷蔵商品のため,販売地域が限定されているため
2021,ぴよりん,https://studio.persol-group.co.jp/nama/240628-1,"「自宅まで無事に持ち帰れたら成功！」というSNS投稿で話題になった、
名古屋発のスイーツはどれでしょう？",ぴよりん,しろくま,ういろう,生ドーナツ
2020~2025,瞬間グルメ,https://www.olive-hitomawashi.com/column/2021/02/post-13708.html,"賞味期限が極端に短く、「食べるタイミング＝体験の価値」の
要素をもつ食べ物を指す呼び名はどれでしょう？",ロングライフスイーツ,ミニマルグルメ,瞬間グルメ,レガシーフード
2020~2025,瞬間グルメ,https://news.yahoo.co.jp/expert/articles/129628d64b4d4b654db4681af43033546b7310a0,"チョコアイスとバニラアイスに温かいチョコソースをかけ、
固まる前に食べる必要がある「賞味期限10秒」のパフェのように、
“一瞬の美味しさ”を売りにした食べ物を指す言葉はどれでしょう？",スローフード,瞬間グルメ,ご当地スイーツ,ハイブリッドスイーツ
2020~2025,瞬間グルメ,https://news.yahoo.co.jp/expert/articles/129628d64b4d4b654db4681af43033546b7310a0,"エクチュア からほり『蔵』本店」の“賞味期限10秒パフェ”が
「瞬間グルメ」と呼ばれる理由として最も適切なものはどれでしょう？","注文してから提供までの時間が
非常に短いため","食べる時間が制限されている
イベント限定商品であるため","温かいチョコソースがすぐに固まってしまい、
美味しさのピークが一瞬だから","SNS投稿用にタイマー演出を
するため"
2023,生ドーナツ,https://www.fujisan.co.jp/trends/gourmet/40336/,"福岡発のベーカリーブランド「I’m donut?」が人気を集めた、
“もっちり感”と“しゅわっと軽やかな口溶け”が特徴の新食感スイーツはどれでしょう？",生ドーナツ,焼きドーナツ,クロナッツ,冷やしドーナツ
2023,生ドーナツ,https://www.cotta.jp/special/article/?p=66139&srsltid=AfmBOor0PlQX7cK1UR5nlYa9Ni7KGloTH0fDUrd9t0-aaLJachCQ9u2o,「生ドーナツ」がSNSで流行した主な理由として最も適切なものはどれでしょう？,値段が安く、保存性が高いため,"映える見た目と“食べたい気持ちを
刺激する”演出があったため",通販限定で手に入りにくかったため,テレビで紹介されたことが少なかったため
2023,生ドーナツ,https://www.cotta.jp/special/article/?p=66139&srsltid=AfmBOor0PlQX7cK1UR5nlYa9Ni7KGloTH0fDUrd9t0-aaLJachCQ9u2o,"SNSで「断面のとろける生クリーム」や「ふわっとした生地」が話題となり、
InstagramやTikTokでも人気を集めたスイーツはどれでしょう？",マリトッツォ,生ドーナツ,バスクチーズケーキ,生カヌレ
2017,パンケーキ,https://rtrp.jp/articles/94026/,"大阪生まれで、20分かけて焼き上げる
“ふわふわ食感”が特徴の人気スイーツはどれでしょう？",バスクチーズケーキ,幸せのパンケーキ,マリトッツォ,生ドーナツ
